feature,coefficient
price_mean_10,4.7610660504445805
price_mean_20,4.662174610186656
price_std_20,3.1665097020659227
volatility_20,2.9896569487742446
price_mean_5,1.1812828054466797
mid_price_lag_10,0.46449097375697795
price_pct_change_1,0.36066018273298855
price_change_1,0.35937316936243385
mid_price_lag_5,0.3532924410665951
mid_price_lag_20,0.3414930988116432
mid_price_lag_1,0.33976515696371146
mid_price_lag_3,0.158580202853529
mid_price_lag_2,0.15572421313875318
price_change_20,0.11608041824417122
minute,0.11317285442756482
hour,0.07020452787570589
price_std_10,0.060134549080053196
price_change_5,0.0526981764273071
price_std_5,0.04911495040865517
seconds_since_open,0.04812008003218882
price_pct_change_5,0.038406028318389004
spread_mean_10,0.016367583651472128
spread_mean_20,0.01053773589559428
spread_mean_5,0.008785488689470154
spread_lag_20,0.00794820768138263
bid1_v_lag_10,0.007641859310426467
volume_imbalance,0.006518937028918594
volume_imbalance_lag_1,0.006408141594811337
bid1_v_lag_20,0.005780558134156012
spread_lag_5,0.0035071022782827946
bid1_v_lag_3,0.003230663486291026
ask1_v_lag_2,0.0031312074553873246
bid1_v_lag_5,0.0029075072288625814
spread_lag_2,0.002667224423218218
ask1_v_lag_10,0.002664935812270603
bid1_v_lag_1,0.0022279625492459226
total_liquidity,0.0020805437639136093
ask1_v_lag_5,0.0013181252526504347
ask1_v_lag_1,0.0012863888970658236
spread_lag_1,0.001142381085763807
spread_lag_10,0.001117017564505193
ask1_v_lag_20,0.000921743553683079
bid1_v_lag_2,0.0009155673311435506
total_liquidity_lag_1,0.0006714889244498447
ask1_v_lag_3,0.0004049100854474884
spread_lag_3,0.00033099627720717173
near_close,0.0
