interval_id,session,target_volume,executed_volume,completion_rate,avg_execution_price,twap_benchmark,vwap_benchmark,slippage_vs_twap_bps,slippage_vs_vwap_bps,n_trades,n_emergency_trades,emergency_volume,emergency_volume_pct
1,上午,11999.94,11999,0.999921666274998,104.24743311942663,104.25220000000002,104.7603276153368,-0.4572450819632509,-48.95884802818115,200,0,0,0.0
2,上午,15000.07,15000,0.999995333355111,102.12495,102.1159,103.15091619198749,0.8862478810843367,-99.46263492976978,200,0,0,0.0
3,上午,17999.88,17999,0.999951110785183,99.22306405911439,99.22965,100.46722270254581,-0.6637069550899504,-123.83726851044847,200,0,0,0.0
4,上午,20999.84,20999,0.9999599996952357,96.61899899995238,96.618325,97.51537032474803,0.06975901852811484,-91.92102966030224,200,0,0,0.0
5,上午,23999.99,23999,0.9999587499828124,95.19316346514437,95.187425,95.53089441173248,0.6028595840638898,-35.35306025007046,200,0,0,0.0
6,上午,27000.010000000002,27000,0.9999996296297667,95.44055592592592,95.43072499999998,95.06122712574643,1.030163600448334,39.90362965520312,200,0,0,0.0
7,上午,29999.98,29999,0.9999673333115555,97.29202706756891,97.272075,96.28475601597701,2.0511608875320753,104.61376164517242,200,0,0,0.0
8,上午,33000.06,33000,0.9999981818214877,100.08348787878788,100.07332500000001,98.7930795225898,1.0155432317120174,130.61728234749575,200,0,0,0.0
9,上午,35999.98,35999,0.9999727777626543,102.86374760410011,102.84662499999999,101.6947573742958,1.6648678651461186,114.95088439040615,200,0,0,0.0
10,下午,65999.91,65999,0.9999862121024103,101.63319656358429,101.6063,100.23052874670738,2.6471354221428682,139.94417014616337,200,0,0,0.0
11,下午,69000.03,69000,0.9999995652175804,103.9693188405797,103.947225,102.92162393106021,2.125486330173796,101.79541183894143,200,0,0,0.0
12,下午,72000.01,72000,0.9999998611111305,104.93105791666666,104.92352500000001,104.81952457594662,0.7179435371283792,10.640511982024183,200,0,0,0.0
13,下午,74999.98,74999,0.9999869333298489,104.15610154802064,104.16407500000001,104.88496033433658,-0.7654704349237005,-69.49125823116988,200,0,0,0.0
14,下午,78000.03,78000,0.9999996153847633,101.95753064102563,101.9572,103.10411075030342,0.032429394454456126,-111.20605191528875,200,0,0,0.0
15,下午,80999.94,80999,0.9999883950531321,99.05453573500907,99.07127499999999,100.63485054608543,-1.6896184076481797,-157.0345464320695,200,0,0,0.0
16,下午,83999.98,83999,0.9999883333305556,96.47291729663448,96.48747500000002,97.55061228860075,-1.5087661238456038,-110.47547182768449,200,0,0,0.0
17,下午,86999.90000000001,86999,0.9999896551605231,95.16042736123403,95.1551,95.58948352662414,0.5598608202842982,-44.88528963236889,200,0,0,0.0
18,下午,89999.92,89999,0.9999897777686914,95.51379293103257,95.49612499999999,95.02137307024677,1.8501202046236631,51.82201065667287,200,0,0,0.0
19,下午,92999.96,92999,0.999989677414915,97.45183087990193,97.42424999999999,96.27820319783572,2.831007670261485,121.8996245343924,200,0,0,0.0
20,下午,95999.98,95999,0.9999897916645399,100.29926520067917,100.24865,98.90824768121371,5.048965814419958,140.63716141739604,200,0,0,0.0
